phys_regs,iq_entries,rob_entries,system.cpu.numCycles,system.cpu.rename.ROBFullEvents,system.cpu.rename.IQFullEvents,system.cpu.rename.fullRegistersEvents
1024,16,16,368766,89777,NA,NA
1024,16,256,353666,NA,76112,NA
1024,16,4,718082,202017,NA,NA
1024,16,64,295269,336,62086,NA
1024,256,16,419536,103299,NA,NA
1024,256,256,297461,1,NA,NA
1024,256,4,672964,188818,NA,NA
1024,256,64,334123,8156,NA,NA
1024,4,16,386858,27,166088,NA
1024,4,256,466815,NA,204528,NA
1024,4,4,678817,190553,51,NA
1024,4,64,489227,NA,215217,NA
1024,64,16,351601,85116,NA,NA
1024,64,256,300286,NA,2525,NA
1024,64,4,701528,197112,NA,NA
1024,64,64,219169,5664,NA,NA
256,16,16,443122,109674,NA,NA
256,16,256,350313,NA,75312,NA
256,16,4,1022301,291501,NA,NA
256,16,64,335880,394,71402,NA
256,256,16,383201,93508,NA,NA
256,256,256,331758,1,NA,NA
256,256,4,789034,222899,NA,NA
256,256,64,276389,6922,NA,NA
256,4,16,484374,27,212730,NA
256,4,256,540795,NA,239892,NA
256,4,4,661740,185493,51,NA
256,4,64,456709,NA,199715,NA
256,64,16,264674,61586,NA,NA
256,64,192,3357433,4,2664,NA
256,64,256,305128,NA,2525,NA
256,64,4,704671,198029,NA,NA
256,64,64,234374,5995,NA,NA
64,16,16,1031871,268134,NA,NA
64,16,256,295255,NA,58731,13552
64,16,4,944921,268682,NA,NA
64,16,64,307777,335,61407,14224 ##
64,256,16,245591,56387,NA,NA
64,256,256,239507,NA,NA,44569
64,256,4,574948,159897,NA,NA
64,256,64,258496,574,NA,47815
64,4,16,900532,27,409627,NA
64,4,256,654699,NA,293579,NA
64,4,4,5120453,1497854,463,NA
64,4,64,671032,NA,301350,NA
64,64,16,3710756,987140,NA,NA
64,64,256,322232,NA,NA,61389
64,64,4,1153753,330259,NA,NA
64,64,64,327150,743,NA,61517
