phys_int_regs,iq_entries,rob_entries,issue_width,fetch_width,commit_width,system.cpu.numCycles,system.cpu.rename.ROBFullEvents,system.cpu.rename.IQFullEvents,system.cpu.rename.fullRegistersEvents
64,16,64,2,2,2,1209696,11,302749,305
64,16,64,2,2,4,349927,6,75629,296
64,16,64,2,2,8,349092,4,75706,296
64,16,64,2,4,2,484619,32,192615,6587
64,16,64,2,4,4,452469,29,182583,373
64,16,64,2,4,8,460117,28,186265,371
64,16,64,2,8,2,521299,16,211465,6579
64,16,64,2,8,4,576595,11,241155,439
64,16,64,2,8,8,590480,9,247401,436
64,16,64,4,2,2,451162,12,20254,44345
64,16,64,4,2,4,544081,6,19480,322
64,16,64,4,2,8,497208,4,17975,322
64,16,64,4,4,2,277001,250,27072,65433
64,16,64,4,4,4,315712,338,47045,14492
64,16,64,4,4,8,252758,24,36972,8413
64,16,64,4,8,2,389493,491,42493,96295
64,16,64,4,8,4,308019,216,64179,19194
64,16,64,4,8,8,393018,9,89030,15090
64,16,64,8,2,2,709731,12,31970,73625
64,16,64,8,2,4,571452,6,16311,2275
64,16,64,8,2,8,272569,4,9287,322
64,16,64,8,4,2,420591,374,38107,109422
64,16,64,8,4,4,393769,837,50523,24877
64,16,64,8,4,8,221341,5,28078,7689
64,16,64,8,8,2,271437,428,26936,65787
64,16,64,8,8,4,219928,426,39549,16007
64,16,64,8,8,8,256422,276,49816,11748
